"Row ID","Geography ID","Name","Variable Code","Variable","Value","Variable Unit","Date","Location"
"19021_2016_CAINC1-3_annual","19021","Buena Vista","CAINC1-3","Per capita personal income","$37,941","Dollars","12/31/2016","POINT (-95.141432 42.741522)"
"19021_2017_CAINC1-1_annual","19021","Buena Vista","CAINC1-1","Personal income","$838,631","Thousands of dollars","12/31/2017","POINT (-95.141432 42.741522)"
"19021_2017_CAINC1-3_annual","19021","Buena Vista","CAINC1-3","Per capita personal income","$40,160","Dollars","12/31/2017","POINT (-95.141432 42.741522)"
"19021_2018_CAINC1-1_annual","19021","Buena Vista","CAINC1-1","Personal income","$887,749","Thousands of dollars","12/31/2018","POINT (-95.141432 42.741522)"
"19021_2018_CAINC1-3_annual","19021","Buena Vista","CAINC1-3","Per capita personal income","$43,049","Dollars","12/31/2018","POINT (-95.141432 42.741522)"
"19021_2019_CAINC1-1_annual","19021","Buena Vista","CAINC1-1","Personal income","$862,130","Thousands of dollars","12/31/2019","POINT (-95.141432 42.741522)"
"19021_2019_CAINC1-3_annual","19021","Buena Vista","CAINC1-3","Per capita personal income","$41,849","Dollars","12/31/2019","POINT (-95.141432 42.741522)"
"19021_2020_CAINC1-1_annual","19021","Buena Vista","CAINC1-1","Personal income","$921,706","Thousands of dollars","12/31/2020","POINT (-95.141432 42.741522)"
"19021_2020_CAINC1-3_annual","19021","Buena Vista","CAINC1-3","Per capita personal income","$44,294","Dollars","12/31/2020","POINT (-95.141432 42.741522)"
"19021_2021_CAINC1-1_annual","19021","Buena Vista","CAINC1-1","Personal income","$1,023,166","Thousands of dollars","12/31/2021","POINT (-95.141432 42.741522)"
"19021_2021_CAINC1-3_annual","19021","Buena Vista","CAINC1-3","Per capita personal income","$49,269","Dollars","12/31/2021","POINT (-95.141432 42.741522)"
"19021_2022_CAINC1-1_annual","19021","Buena Vista","CAINC1-1","Personal income","$1,119,428","Thousands of dollars","12/31/2022","POINT (-95.141432 42.741522)"
"19021_2022_CAINC1-3_annual","19021","Buena Vista","CAINC1-3","Per capita personal income","$54,341","Dollars","12/31/2022","POINT (-95.141432 42.741522)"
"19023_1997_CAINC1-1_annual","19023","Butler","CAINC1-1","Personal income","$340,913","Thousands of dollars","12/31/1997","POINT (-92.780066 42.734708)"
"19023_1997_CAINC1-3_annual","19023","Butler","CAINC1-3","Per capita personal income","$21,993","Dollars","12/31/1997","POINT (-92.780066 42.734708)"
"19023_1998_CAINC1-1_annual","19023","Butler","CAINC1-1","Personal income","$344,771","Thousands of dollars","12/31/1998","POINT (-92.780066 42.734708)"
"19023_1998_CAINC1-3_annual","19023","Butler","CAINC1-3","Per capita personal income","$22,379","Dollars","12/31/1998","POINT (-92.780066 42.734708)"
"19023_1999_CAINC1-1_annual","19023","Butler","CAINC1-1","Personal income","$337,444","Thousands of dollars","12/31/1999","POINT (-92.780066 42.734708)"
"19023_1999_CAINC1-3_annual","19023","Butler","CAINC1-3","Per capita personal income","$22,075","Dollars","12/31/1999","POINT (-92.780066 42.734708)"
"19023_2000_CAINC1-1_annual","19023","Butler","CAINC1-1","Personal income","$368,335","Thousands of dollars","12/31/2000","POINT (-92.780066 42.734708)"
"19023_2000_CAINC1-3_annual","19023","Butler","CAINC1-3","Per capita personal income","$24,076","Dollars","12/31/2000","POINT (-92.780066 42.734708)"
"19023_2001_CAINC1-1_annual","19023","Butler","CAINC1-1","Personal income","$382,647","Thousands of dollars","12/31/2001","POINT (-92.780066 42.734708)"
"19023_2001_CAINC1-3_annual","19023","Butler","CAINC1-3","Per capita personal income","$25,400","Dollars","12/31/2001","POINT (-92.780066 42.734708)"
"19023_2002_CAINC1-1_annual","19023","Butler","CAINC1-1","Personal income","$386,648","Thousands of dollars","12/31/2002","POINT (-92.780066 42.734708)"
"19023_2002_CAINC1-3_annual","19023","Butler","CAINC1-3","Per capita personal income","$25,904","Dollars","12/31/2002","POINT (-92.780066 42.734708)"
"19023_2003_CAINC1-1_annual","19023","Butler","CAINC1-1","Personal income","$383,384","Thousands of dollars","12/31/2003","POINT (-92.780066 42.734708)"
"19023_2003_CAINC1-3_annual","19023","Butler","CAINC1-3","Per capita personal income","$25,663","Dollars","12/31/2003","POINT (-92.780066 42.734708)"
"19023_2004_CAINC1-1_annual","19023","Butler","CAINC1-1","Personal income","$453,592","Thousands of dollars","12/31/2004","POINT (-92.780066 42.734708)"
"19023_2004_CAINC1-3_annual","19023","Butler","CAINC1-3","Per capita personal income","$30,270","Dollars","12/31/2004","POINT (-92.780066 42.734708)"
"19023_2005_CAINC1-1_annual","19023","Butler","CAINC1-1","Personal income","$458,712","Thousands of dollars","12/31/2005","POINT (-92.780066 42.734708)"
"19023_2005_CAINC1-3_annual","19023","Butler","CAINC1-3","Per capita personal income","$30,652","Dollars","12/31/2005","POINT (-92.780066 42.734708)"
"19023_2006_CAINC1-1_annual","19023","Butler","CAINC1-1","Personal income","$471,142","Thousands of dollars","12/31/2006","POINT (-92.780066 42.734708)"
"19023_2006_CAINC1-3_annual","19023","Butler","CAINC1-3","Per capita personal income","$31,555","Dollars","12/31/2006","POINT (-92.780066 42.734708)"
"19023_2007_CAINC1-1_annual","19023","Butler","CAINC1-1","Personal income","$521,195","Thousands of dollars","12/31/2007","POINT (-92.780066 42.734708)"
"19023_2007_CAINC1-3_annual","19023","Butler","CAINC1-3","Per capita personal income","$34,837","Dollars","12/31/2007","POINT (-92.780066 42.734708)"
"19023_2008_CAINC1-1_annual","19023","Butler","CAINC1-1","Personal income","$532,258","Thousands of dollars","12/31/2008","POINT (-92.780066 42.734708)"
"19023_2008_CAINC1-3_annual","19023","Butler","CAINC1-3","Per capita personal income","$35,586","Dollars","12/31/2008","POINT (-92.780066 42.734708)"
"19023_2009_CAINC1-1_annual","19023","Butler","CAINC1-1","Personal income","$531,105","Thousands of dollars","12/31/2009","POINT (-92.780066 42.734708)"
"19023_2009_CAINC1-3_annual","19023","Butler","CAINC1-3","Per capita personal income","$36,132","Dollars","12/31/2009","POINT (-92.780066 42.734708)"
"19023_2010_CAINC1-1_annual","19023","Butler","CAINC1-1","Personal income","$565,455","Thousands of dollars","12/31/2010","POINT (-92.780066 42.734708)"
"19023_2010_CAINC1-3_annual","19023","Butler","CAINC1-3","Per capita personal income","$37,912","Dollars","12/31/2010","POINT (-92.780066 42.734708)"
"19023_2011_CAINC1-1_annual","19023","Butler","CAINC1-1","Personal income","$654,100","Thousands of dollars","12/31/2011","POINT (-92.780066 42.734708)"
"19023_2011_CAINC1-3_annual","19023","Butler","CAINC1-3","Per capita personal income","$43,712","Dollars","12/31/2011","POINT (-92.780066 42.734708)"
"19023_2012_CAINC1-1_annual","19023","Butler","CAINC1-1","Personal income","$634,467","Thousands of dollars","12/31/2012","POINT (-92.780066 42.734708)"
"19023_2012_CAINC1-3_annual","19023","Butler","CAINC1-3","Per capita personal income","$42,385","Dollars","12/31/2012","POINT (-92.780066 42.734708)"
"19023_2013_CAINC1-1_annual","19023","Butler","CAINC1-1","Personal income","$639,393","Thousands of dollars","12/31/2013","POINT (-92.780066 42.734708)"
"19023_2013_CAINC1-3_annual","19023","Butler","CAINC1-3","Per capita personal income","$42,714","Dollars","12/31/2013","POINT (-92.780066 42.734708)"
"19023_2014_CAINC1-1_annual","19023","Butler","CAINC1-1","Personal income","$604,573","Thousands of dollars","12/31/2014","POINT (-92.780066 42.734708)"
"19023_2014_CAINC1-3_annual","19023","Butler","CAINC1-3","Per capita personal income","$40,434","Dollars","12/31/2014","POINT (-92.780066 42.734708)"
"19023_2015_CAINC1-1_annual","19023","Butler","CAINC1-1","Personal income","$608,096","Thousands of dollars","12/31/2015","POINT (-92.780066 42.734708)"
"19023_2015_CAINC1-3_annual","19023","Butler","CAINC1-3","Per capita personal income","$40,886","Dollars","12/31/2015","POINT (-92.780066 42.734708)"
"19023_2016_CAINC1-1_annual","19023","Butler","CAINC1-1","Personal income","$607,645","Thousands of dollars","12/31/2016","POINT (-92.780066 42.734708)"
"19023_2016_CAINC1-3_annual","19023","Butler","CAINC1-3","Per capita personal income","$41,379","Dollars","12/31/2016","POINT (-92.780066 42.734708)"
"19023_2017_CAINC1-1_annual","19023","Butler","CAINC1-1","Personal income","$625,815","Thousands of dollars","12/31/2017","POINT (-92.780066 42.734708)"
"19023_2017_CAINC1-3_annual","19023","Butler","CAINC1-3","Per capita personal income","$42,914","Dollars","12/31/2017","POINT (-92.780066 42.734708)"
"19023_2018_CAINC1-1_annual","19023","Butler","CAINC1-1","Personal income","$658,534","Thousands of dollars","12/31/2018","POINT (-92.780066 42.734708)"
"19023_2018_CAINC1-3_annual","19023","Butler","CAINC1-3","Per capita personal income","$45,400","Dollars","12/31/2018","POINT (-92.780066 42.734708)"
"19023_2019_CAINC1-1_annual","19023","Butler","CAINC1-1","Personal income","$664,731","Thousands of dollars","12/31/2019","POINT (-92.780066 42.734708)"
"19023_2019_CAINC1-3_annual","19023","Butler","CAINC1-3","Per capita personal income","$46,191","Dollars","12/31/2019","POINT (-92.780066 42.734708)"
"19023_2020_CAINC1-1_annual","19023","Butler","CAINC1-1","Personal income","$693,994","Thousands of dollars","12/31/2020","POINT (-92.780066 42.734708)"
"19023_2020_CAINC1-3_annual","19023","Butler","CAINC1-3","Per capita personal income","$48,423","Dollars","12/31/2020","POINT (-92.780066 42.734708)"
"19023_2021_CAINC1-1_annual","19023","Butler","CAINC1-1","Personal income","$823,384","Thousands of dollars","12/31/2021","POINT (-92.780066 42.734708)"
"19023_2021_CAINC1-3_annual","19023","Butler","CAINC1-3","Per capita personal income","$57,331","Dollars","12/31/2021","POINT (-92.780066 42.734708)"
"19023_2022_CAINC1-1_annual","19023","Butler","CAINC1-1","Personal income","$857,359","Thousands of dollars","12/31/2022","POINT (-92.780066 42.734708)"
"19023_2022_CAINC1-3_annual","19023","Butler","CAINC1-3","Per capita personal income","$60,085","Dollars","12/31/2022","POINT (-92.780066 42.734708)"
"19025_1997_CAINC1-1_annual","19025","Calhoun","CAINC1-1","Personal income","$254,535","Thousands of dollars","12/31/1997","POINT (-94.643683 42.38617)"
"19025_1997_CAINC1-3_annual","19025","Calhoun","CAINC1-3","Per capita personal income","$22,373","Dollars","12/31/1997","POINT (-94.643683 42.38617)"
"19025_1998_CAINC1-1_annual","19025","Calhoun","CAINC1-1","Personal income","$237,345","Thousands of dollars","12/31/1998","POINT (-94.643683 42.38617)"
"19025_1998_CAINC1-3_annual","19025","Calhoun","CAINC1-3","Per capita personal income","$21,011","Dollars","12/31/1998","POINT (-94.643683 42.38617)"
"19025_1999_CAINC1-1_annual","19025","Calhoun","CAINC1-1","Personal income","$244,046","Thousands of dollars","12/31/1999","POINT (-94.643683 42.38617)"
"19025_1999_CAINC1-3_annual","19025","Calhoun","CAINC1-3","Per capita personal income","$21,809","Dollars","12/31/1999","POINT (-94.643683 42.38617)"
"19025_2000_CAINC1-1_annual","19025","Calhoun","CAINC1-1","Personal income","$259,754","Thousands of dollars","12/31/2000","POINT (-94.643683 42.38617)"
"19025_2000_CAINC1-3_annual","19025","Calhoun","CAINC1-3","Per capita personal income","$23,427","Dollars","12/31/2000","POINT (-94.643683 42.38617)"
"19025_2001_CAINC1-1_annual","19025","Calhoun","CAINC1-1","Personal income","$266,895","Thousands of dollars","12/31/2001","POINT (-94.643683 42.38617)"
"19025_2001_CAINC1-3_annual","19025","Calhoun","CAINC1-3","Per capita personal income","$24,445","Dollars","12/31/2001","POINT (-94.643683 42.38617)"
"19025_2002_CAINC1-1_annual","19025","Calhoun","CAINC1-1","Personal income","$271,449","Thousands of dollars","12/31/2002","POINT (-94.643683 42.38617)"
"19025_2002_CAINC1-3_annual","19025","Calhoun","CAINC1-3","Per capita personal income","$25,409","Dollars","12/31/2002","POINT (-94.643683 42.38617)"
"19025_2003_CAINC1-1_annual","19025","Calhoun","CAINC1-1","Personal income","$277,244","Thousands of dollars","12/31/2003","POINT (-94.643683 42.38617)"
"19025_2003_CAINC1-3_annual","19025","Calhoun","CAINC1-3","Per capita personal income","$26,434","Dollars","12/31/2003","POINT (-94.643683 42.38617)"
"19025_2004_CAINC1-1_annual","19025","Calhoun","CAINC1-1","Personal income","$319,952","Thousands of dollars","12/31/2004","POINT (-94.643683 42.38617)"
"19025_2004_CAINC1-3_annual","19025","Calhoun","CAINC1-3","Per capita personal income","$30,818","Dollars","12/31/2004","POINT (-94.643683 42.38617)"
"19025_2005_CAINC1-1_annual","19025","Calhoun","CAINC1-1","Personal income","$322,877","Thousands of dollars","12/31/2005","POINT (-94.643683 42.38617)"
"19025_2005_CAINC1-3_annual","19025","Calhoun","CAINC1-3","Per capita personal income","$31,568","Dollars","12/31/2005","POINT (-94.643683 42.38617)"
"19025_2006_CAINC1-1_annual","19025","Calhoun","CAINC1-1","Personal income","$328,237","Thousands of dollars","12/31/2006","POINT (-94.643683 42.38617)"
"19025_2006_CAINC1-3_annual","19025","Calhoun","CAINC1-3","Per capita personal income","$32,521","Dollars","12/31/2006","POINT (-94.643683 42.38617)"
"19025_2007_CAINC1-1_annual","19025","Calhoun","CAINC1-1","Personal income","$369,041","Thousands of dollars","12/31/2007","POINT (-94.643683 42.38617)"
"19025_2007_CAINC1-3_annual","19025","Calhoun","CAINC1-3","Per capita personal income","$37,101","Dollars","12/31/2007","POINT (-94.643683 42.38617)"
"19025_2008_CAINC1-1_annual","19025","Calhoun","CAINC1-1","Personal income","$410,279","Thousands of dollars","12/31/2008","POINT (-94.643683 42.38617)"
"19025_2008_CAINC1-3_annual","19025","Calhoun","CAINC1-3","Per capita personal income","$41,674","Dollars","12/31/2008","POINT (-94.643683 42.38617)"
"19025_2009_CAINC1-1_annual","19025","Calhoun","CAINC1-1","Personal income","$368,982","Thousands of dollars","12/31/2009","POINT (-94.643683 42.38617)"
"19025_2009_CAINC1-3_annual","19025","Calhoun","CAINC1-3","Per capita personal income","$38,102","Dollars","12/31/2009","POINT (-94.643683 42.38617)"
"19025_2010_CAINC1-1_annual","19025","Calhoun","CAINC1-1","Personal income","$397,610","Thousands of dollars","12/31/2010","POINT (-94.643683 42.38617)"
"19025_2010_CAINC1-3_annual","19025","Calhoun","CAINC1-3","Per capita personal income","$39,096","Dollars","12/31/2010","POINT (-94.643683 42.38617)"
"19025_2011_CAINC1-1_annual","19025","Calhoun","CAINC1-1","Personal income","$460,455","Thousands of dollars","12/31/2011","POINT (-94.643683 42.38617)"
"19025_2011_CAINC1-3_annual","19025","Calhoun","CAINC1-3","Per capita personal income","$45,513","Dollars","12/31/2011","POINT (-94.643683 42.38617)"
"19025_2012_CAINC1-1_annual","19025","Calhoun","CAINC1-1","Personal income","$452,412","Thousands of dollars","12/31/2012","POINT (-94.643683 42.38617)"
"19025_2012_CAINC1-3_annual","19025","Calhoun","CAINC1-3","Per capita personal income","$45,214","Dollars","12/31/2012","POINT (-94.643683 42.38617)"
"19025_2013_CAINC1-1_annual","19025","Calhoun","CAINC1-1","Personal income","$484,551","Thousands of dollars","12/31/2013","POINT (-94.643683 42.38617)"
"19025_2013_CAINC1-3_annual","19025","Calhoun","CAINC1-3","Per capita personal income","$48,281","Dollars","12/31/2013","POINT (-94.643683 42.38617)"
"19025_2014_CAINC1-1_annual","19025","Calhoun","CAINC1-1","Personal income","$452,648","Thousands of dollars","12/31/2014","POINT (-94.643683 42.38617)"
"19025_2014_CAINC1-3_annual","19025","Calhoun","CAINC1-3","Per capita personal income","$45,161","Dollars","12/31/2014","POINT (-94.643683 42.38617)"
"19025_2015_CAINC1-1_annual","19025","Calhoun","CAINC1-1","Personal income","$434,659","Thousands of dollars","12/31/2015","POINT (-94.643683 42.38617)"
"19025_2015_CAINC1-3_annual","19025","Calhoun","CAINC1-3","Per capita personal income","$43,375","Dollars","12/31/2015","POINT (-94.643683 42.38617)"
"19025_2016_CAINC1-1_annual","19025","Calhoun","CAINC1-1","Personal income","$435,772","Thousands of dollars","12/31/2016","POINT (-94.643683 42.38617)"
"19025_2016_CAINC1-3_annual","19025","Calhoun","CAINC1-3","Per capita personal income","$43,270","Dollars","12/31/2016","POINT (-94.643683 42.38617)"
"19025_2017_CAINC1-1_annual","19025","Calhoun","CAINC1-1","Personal income","$437,347","Thousands of dollars","12/31/2017","POINT (-94.643683 42.38617)"
"19025_2017_CAINC1-3_annual","19025","Calhoun","CAINC1-3","Per capita personal income","$43,595","Dollars","12/31/2017","POINT (-94.643683 42.38617)"
"19025_2018_CAINC1-1_annual","19025","Calhoun","CAINC1-1","Personal income","$466,887","Thousands of dollars","12/31/2018","POINT (-94.643683 42.38617)"
"19025_2018_CAINC1-3_annual","19025","Calhoun","CAINC1-3","Per capita personal income","$46,712","Dollars","12/31/2018","POINT (-94.643683 42.38617)"
"19025_2019_CAINC1-1_annual","19025","Calhoun","CAINC1-1","Personal income","$470,505","Thousands of dollars","12/31/2019","POINT (-94.643683 42.38617)"
"19025_2019_CAINC1-3_annual","19025","Calhoun","CAINC1-3","Per capita personal income","$47,060","Dollars","12/31/2019","POINT (-94.643683 42.38617)"
"19025_2020_CAINC1-1_annual","19025","Calhoun","CAINC1-1","Personal income","$485,679","Thousands of dollars","12/31/2020","POINT (-94.643683 42.38617)"
"19025_2020_CAINC1-3_annual","19025","Calhoun","CAINC1-3","Per capita personal income","$49,148","Dollars","12/31/2020","POINT (-94.643683 42.38617)"
"19025_2021_CAINC1-1_annual","19025","Calhoun","CAINC1-1","Personal income","$588,417","Thousands of dollars","12/31/2021","POINT (-94.643683 42.38617)"
"19025_2021_CAINC1-3_annual","19025","Calhoun","CAINC1-3","Per capita personal income","$59,532","Dollars","12/31/2021","POINT (-94.643683 42.38617)"
"19025_2022_CAINC1-1_annual","19025","Calhoun","CAINC1-1","Personal income","$625,123","Thousands of dollars","12/31/2022","POINT (-94.643683 42.38617)"
"19025_2022_CAINC1-3_annual","19025","Calhoun","CAINC1-3","Per capita personal income","$64,280","Dollars","12/31/2022","POINT (-94.643683 42.38617)"
"19027_1997_CAINC1-1_annual","19027","Carroll","CAINC1-1","Personal income","$526,870","Thousands of dollars","12/31/1997","POINT (-94.867647 42.039492)"
"19027_1997_CAINC1-3_annual","19027","Carroll","CAINC1-3","Per capita personal income","$24,274","Dollars","12/31/1997","POINT (-94.867647 42.039492)"
"19027_1998_CAINC1-1_annual","19027","Carroll","CAINC1-1","Personal income","$529,027","Thousands of dollars","12/31/1998","POINT (-94.867647 42.039492)"
"19027_1998_CAINC1-3_annual","19027","Carroll","CAINC1-3","Per capita personal income","$24,376","Dollars","12/31/1998","POINT (-94.867647 42.039492)"
"19027_1999_CAINC1-1_annual","19027","Carroll","CAINC1-1","Personal income","$517,551","Thousands of dollars","12/31/1999","POINT (-94.867647 42.039492)"
"19027_1999_CAINC1-3_annual","19027","Carroll","CAINC1-3","Per capita personal income","$23,926","Dollars","12/31/1999","POINT (-94.867647 42.039492)"
"19027_2000_CAINC1-1_annual","19027","Carroll","CAINC1-1","Personal income","$568,476","Thousands of dollars","12/31/2000","POINT (-94.867647 42.039492)"
"19027_2000_CAINC1-3_annual","19027","Carroll","CAINC1-3","Per capita personal income","$26,587","Dollars","12/31/2000","POINT (-94.867647 42.039492)"
"19027_2001_CAINC1-1_annual","19027","Carroll","CAINC1-1","Personal income","$592,841","Thousands of dollars","12/31/2001","POINT (-94.867647 42.039492)"
"19027_2001_CAINC1-3_annual","19027","Carroll","CAINC1-3","Per capita personal income","$27,931","Dollars","12/31/2001","POINT (-94.867647 42.039492)"
"19027_2002_CAINC1-1_annual","19027","Carroll","CAINC1-1","Personal income","$596,218","Thousands of dollars","12/31/2002","POINT (-94.867647 42.039492)"
"19027_2002_CAINC1-3_annual","19027","Carroll","CAINC1-3","Per capita personal income","$28,178","Dollars","12/31/2002","POINT (-94.867647 42.039492)"
"19027_2003_CAINC1-1_annual","19027","Carroll","CAINC1-1","Personal income","$598,553","Thousands of dollars","12/31/2003","POINT (-94.867647 42.039492)"
"19027_2003_CAINC1-3_annual","19027","Carroll","CAINC1-3","Per capita personal income","$28,470","Dollars","12/31/2003","POINT (-94.867647 42.039492)"
"19027_2004_CAINC1-1_annual","19027","Carroll","CAINC1-1","Personal income","$678,732","Thousands of dollars","12/31/2004","POINT (-94.867647 42.039492)"
"19027_2004_CAINC1-3_annual","19027","Carroll","CAINC1-3","Per capita personal income","$32,419","Dollars","12/31/2004","POINT (-94.867647 42.039492)"
"19027_2005_CAINC1-1_annual","19027","Carroll","CAINC1-1","Personal income","$675,748","Thousands of dollars","12/31/2005","POINT (-94.867647 42.039492)"
"19027_2005_CAINC1-3_annual","19027","Carroll","CAINC1-3","Per capita personal income","$32,220","Dollars","12/31/2005","POINT (-94.867647 42.039492)"
"19027_2006_CAINC1-1_annual","19027","Carroll","CAINC1-1","Personal income","$715,216","Thousands of dollars","12/31/2006","POINT (-94.867647 42.039492)"
"19027_2006_CAINC1-3_annual","19027","Carroll","CAINC1-3","Per capita personal income","$34,333","Dollars","12/31/2006","POINT (-94.867647 42.039492)"
"19027_2007_CAINC1-1_annual","19027","Carroll","CAINC1-1","Personal income","$753,887","Thousands of dollars","12/31/2007","POINT (-94.867647 42.039492)"
"19027_2007_CAINC1-3_annual","19027","Carroll","CAINC1-3","Per capita personal income","$36,125","Dollars","12/31/2007","POINT (-94.867647 42.039492)"
"19027_2008_CAINC1-1_annual","19027","Carroll","CAINC1-1","Personal income","$819,627","Thousands of dollars","12/31/2008","POINT (-94.867647 42.039492)"
"19027_2008_CAINC1-3_annual","19027","Carroll","CAINC1-3","Per capita personal income","$39,515","Dollars","12/31/2008","POINT (-94.867647 42.039492)"
"19027_2009_CAINC1-1_annual","19027","Carroll","CAINC1-1","Personal income","$787,118","Thousands of dollars","12/31/2009","POINT (-94.867647 42.039492)"
"19027_2009_CAINC1-3_annual","19027","Carroll","CAINC1-3","Per capita personal income","$37,946","Dollars","12/31/2009","POINT (-94.867647 42.039492)"
"19027_2010_CAINC1-1_annual","19027","Carroll","CAINC1-1","Personal income","$845,350","Thousands of dollars","12/31/2010","POINT (-94.867647 42.039492)"
"19027_2010_CAINC1-3_annual","19027","Carroll","CAINC1-3","Per capita personal income","$40,558","Dollars","12/31/2010","POINT (-94.867647 42.039492)"
"19027_2011_CAINC1-1_annual","19027","Carroll","CAINC1-1","Personal income","$942,399","Thousands of dollars","12/31/2011","POINT (-94.867647 42.039492)"
"19027_2011_CAINC1-3_annual","19027","Carroll","CAINC1-3","Per capita personal income","$44,962","Dollars","12/31/2011","POINT (-94.867647 42.039492)"
"19027_2012_CAINC1-1_annual","19027","Carroll","CAINC1-1","Personal income","$946,343","Thousands of dollars","12/31/2012","POINT (-94.867647 42.039492)"
"19027_2012_CAINC1-3_annual","19027","Carroll","CAINC1-3","Per capita personal income","$45,425","Dollars","12/31/2012","POINT (-94.867647 42.039492)"
"19027_2013_CAINC1-1_annual","19027","Carroll","CAINC1-1","Personal income","$986,565","Thousands of dollars","12/31/2013","POINT (-94.867647 42.039492)"
"19027_2013_CAINC1-3_annual","19027","Carroll","CAINC1-3","Per capita personal income","$47,438","Dollars","12/31/2013","POINT (-94.867647 42.039492)"
"19027_2014_CAINC1-1_annual","19027","Carroll","CAINC1-1","Personal income","$984,089","Thousands of dollars","12/31/2014","POINT (-94.867647 42.039492)"
"19027_2014_CAINC1-3_annual","19027","Carroll","CAINC1-3","Per capita personal income","$47,239","Dollars","12/31/2014","POINT (-94.867647 42.039492)"
"19027_2015_CAINC1-1_annual","19027","Carroll","CAINC1-1","Personal income","$1,005,929","Thousands of dollars","12/31/2015","POINT (-94.867647 42.039492)"
"19027_2015_CAINC1-3_annual","19027","Carroll","CAINC1-3","Per capita personal income","$48,276","Dollars","12/31/2015","POINT (-94.867647 42.039492)"
"19027_2016_CAINC1-1_annual","19027","Carroll","CAINC1-1","Personal income","$994,526","Thousands of dollars","12/31/2016","POINT (-94.867647 42.039492)"
"19027_2016_CAINC1-3_annual","19027","Carroll","CAINC1-3","Per capita personal income","$47,681","Dollars","12/31/2016","POINT (-94.867647 42.039492)"
"19027_2017_CAINC1-1_annual","19027","Carroll","CAINC1-1","Personal income","$1,022,141","Thousands of dollars","12/31/2017","POINT (-94.867647 42.039492)"
"19027_2017_CAINC1-3_annual","19027","Carroll","CAINC1-3","Per capita personal income","$49,073","Dollars","12/31/2017","POINT (-94.867647 42.039492)"
"19027_2018_CAINC1-1_annual","19027","Carroll","CAINC1-1","Personal income","$1,080,334","Thousands of dollars","12/31/2018","POINT (-94.867647 42.039492)"
"19027_2018_CAINC1-3_annual","19027","Carroll","CAINC1-3","Per capita personal income","$52,067","Dollars","12/31/2018","POINT (-94.867647 42.039492)"
"19027_2019_CAINC1-1_annual","19027","Carroll","CAINC1-1","Personal income","$1,067,093","Thousands of dollars","12/31/2019","POINT (-94.867647 42.039492)"
"19027_2019_CAINC1-3_annual","19027","Carroll","CAINC1-3","Per capita personal income","$51,189","Dollars","12/31/2019","POINT (-94.867647 42.039492)"
"19027_2020_CAINC1-1_annual","19027","Carroll","CAINC1-1","Personal income","$1,128,741","Thousands of dollars","12/31/2020","POINT (-94.867647 42.039492)"
"19027_2020_CAINC1-3_annual","19027","Carroll","CAINC1-3","Per capita personal income","$54,473","Dollars","12/31/2020","POINT (-94.867647 42.039492)"
"19027_2021_CAINC1-1_annual","19027","Carroll","CAINC1-1","Personal income","$1,255,429","Thousands of dollars","12/31/2021","POINT (-94.867647 42.039492)"
"19027_2021_CAINC1-3_annual","19027","Carroll","CAINC1-3","Per capita personal income","$60,497","Dollars","12/31/2021","POINT (-94.867647 42.039492)"
"19027_2022_CAINC1-1_annual","19027","Carroll","CAINC1-1","Personal income","$1,331,815","Thousands of dollars","12/31/2022","POINT (-94.867647 42.039492)"
"19027_2022_CAINC1-3_annual","19027","Carroll","CAINC1-3","Per capita personal income","$64,755","Dollars","12/31/2022","POINT (-94.867647 42.039492)"
"19029_1997_CAINC1-1_annual","19029","Cass","CAINC1-1","Personal income","$332,757","Thousands of dollars","12/31/1997","POINT (-94.933302 41.333824)"
"19029_1997_CAINC1-3_annual","19029","Cass","CAINC1-3","Per capita personal income","$22,354","Dollars","12/31/1997","POINT (-94.933302 41.333824)"
"19029_1998_CAINC1-1_annual","19029","Cass","CAINC1-1","Personal income","$349,568","Thousands of dollars","12/31/1998","POINT (-94.933302 41.333824)"
"19029_1998_CAINC1-3_annual","19029","Cass","CAINC1-3","Per capita personal income","$23,629","Dollars","12/31/1998","POINT (-94.933302 41.333824)"
"19029_1999_CAINC1-1_annual","19029","Cass","CAINC1-1","Personal income","$352,238","Thousands of dollars","12/31/1999","POINT (-94.933302 41.333824)"
"19029_1999_CAINC1-3_annual","19029","Cass","CAINC1-3","Per capita personal income","$24,045","Dollars","12/31/1999","POINT (-94.933302 41.333824)"
"19029_2000_CAINC1-1_annual","19029","Cass","CAINC1-1","Personal income","$374,843","Thousands of dollars","12/31/2000","POINT (-94.933302 41.333824)"
"19029_2000_CAINC1-3_annual","19029","Cass","CAINC1-3","Per capita personal income","$25,543","Dollars","12/31/2000","POINT (-94.933302 41.333824)"
"19029_2001_CAINC1-1_annual","19029","Cass","CAINC1-1","Personal income","$366,203","Thousands of dollars","12/31/2001","POINT (-94.933302 41.333824)"
"19029_2001_CAINC1-3_annual","19029","Cass","CAINC1-3","Per capita personal income","$25,276","Dollars","12/31/2001","POINT (-94.933302 41.333824)"
"19029_2002_CAINC1-1_annual","19029","Cass","CAINC1-1","Personal income","$373,573","Thousands of dollars","12/31/2002","POINT (-94.933302 41.333824)"
"19029_2002_CAINC1-3_annual","19029","Cass","CAINC1-3","Per capita personal income","$26,230","Dollars","12/31/2002","POINT (-94.933302 41.333824)"
"19029_2003_CAINC1-1_annual","19029","Cass","CAINC1-1","Personal income","$373,911","Thousands of dollars","12/31/2003","POINT (-94.933302 41.333824)"
